"","LocID","Location","Covid_JHU_Q2","Covid_JHU_Q3","Covid_JHU_Q4","Covid_JHU_Q1","Covid_WHO_Q1"
"267","MX27","Tabasco",1097,2834,3200,3904,0
"268","MX28","Tamaulipas",399,2257,3279,4642,0
"269","MX29","Tlaxcala",367,1027,1415,2294,0
"270","MX30","Veracruz",1635,4265,6339,8827,0
"271","MX31","Yucatan",466,1619,2291,3341,0
"272","MX32","Zacatecas",101,711,1759,2654,0
"273","MYS","Malaysia",121,136,471,1265,43
"274","MYT","Mayotte",35,42,55,154,0
"275","NAM","Namibia",0,123,205,520,0
"276","NCL","New Caledonia",0,0,0,0,0
"277","NER","Niger",68,69,104,186,3
"278","NGA","Nigeria",616,1112,1289,2056,1
"279","NIC","Nicaragua",83,151,165,178,1
"280","NLD","Netherlands",6132,6470,11525,16657,1039
"281","NOR","Norway",251,274,436,661,28
"282","NPL","Nepal",31,509,1856,3030,0
"283","NZL","New Zealand",22,25,25,26,1
"284","OMN","Oman",188,935,1499,1669,1
"285","PAK","Pakistan",4551,6499,10176,14434,26
"286","PAN","Panama",667,2387,4022,6109,24
"287","PE02","Ancash",487,1293,1516,2099,0
"288","PE03","Apurimac",19,91,159,325,0
"289","PE04","Arequipa",280,1355,1628,2139,0
"290","PE05","Ayacucho",26,301,377,603,0
"291","PE06","Cajamarca",74,471,610,908,0
"292","PE07","Callao",643,1749,1978,2744,0
"293","PE08","Cusco",19,416,532,853,0
"294","PE09","Huancavelica",12,112,147,277,0
"295","PE10","Huanuco",69,379,492,821,0
"296","PE11","Ica",497,1599,1793,2429,0
"297","PE12","Junin",146,761,964,1729,0
"298","PE13","La Libertad",615,2208,2478,3126,0
"299","PE14","Lambayeque",756,1688,1933,2246,0
"300","PE15","Lima",4652,14577,16779,22692,0
"301","PE16","Loreto",347,949,1007,1316,0
"302","PE17","Madre de Dios",42,138,155,194,0
"303","PE18","Moquegua",15,263,309,487,0
"304","PE19","Pasco",23,109,137,284,0
"305","PE20","Piura",769,1957,2222,2524,0
"306","PE21","Puno",25,300,403,687,0
"307","PE22","San Martin",154,701,797,965,0
"308","PE23","Tacna",9,213,270,668,0
"309","PE24","Tumbes",125,301,346,480,0
"310","PE25","Ucayali",156,319,394,676,0
"311","PER","Peru",10045,32463,37680,51635,24
"312","PHL","Philippines",1274,5562,9244,13191,88
"313","PNG","Papua New Guinea",0,7,9,56,0
"314","POL","Poland",1492,2543,28554,52392,33
"315","PRI","Puerto Rico",153,665,1503,2113,8
"316","PRT","Portugal",1587,1977,6906,16845,160
"317","PRY","Paraguay",19,869,2262,4161,3
"318","PSE","State of Palestine",9,318,1400,2614,1
"319","PYF","French Polynesia",0,7,114,141,0
"320","QAT","Qatar",118,214,245,289,2
"321","REU","Reunion",2,16,42,102,0
"322","ROU","Romania",1687,4862,15767,23409,69
"323","RUS","Russian Federation",9668,20796,56271,96817,17
"324","RWA","Rwanda",3,29,92,306,0
"325","SAU","Saudi Arabia",1752,4794,6223,6663,10
"326","SDN","Sudan",602,836,1468,2041,2
"327","SEN","Senegal",121,311,410,1049,0
"328","SGP","Singapore",26,27,29,30,3
"329","SLE","Sierra Leone",60,72,76,79,0
"330","SLV","El Salvador",191,848,1327,2006,0
"331","SMR","San Marino",42,42,59,84,26
"332","SOM","Somalia",90,99,130,521,0
"333","SPM","Saint Pierre and Miquelon",0,0,0,0,0
"334","SRB","Serbia",342,1238,4543,7136,14
"335","SSD","South Sudan",38,49,63,108,0
"336","STP","Sao Tome and Principe",13,15,17,34,0
"337","SUR","Suriname",13,105,122,177,0
"338","SVK","Slovakia",28,48,2138,9624,0
"339","SVN","Slovenia",111,152,2697,4040,13
"340","SWE","Sweden",5411,5893,8727,13430,180
"341","SWZ","Eswatini",11,111,205,667,0
"342","SXM","Siint Maarten (Dutch part)",15,22,27,27,0
"343","SYC","Seychelles",0,0,0,20,0
"344","SYR","Syrian Arab Republic",9,202,711,1254,2
"345","TCA","Turks and Caicos Islands",2,6,6,17,0
"346","TCD","Chad",74,85,104,164,0
"347","TGO","Togo",14,48,68,109,1
"348","THA","Thailand",58,59,63,94,12
"349","TJK","Tajikistan",52,77,90,90,0
"350","TLS","Timor-Leste",0,0,0,0,0
"351","TTO","Trinidad and Tobago",8,76,127,142,3
"352","TUN","Tunisia",50,265,4676,8788,10
"353","TUR","Turkey",5167,8262,20881,31385,214
"354","TWN","China, Taiwan Province of China",7,7,7,10,0
"355","TZA","United Republic of Tanzania",21,21,21,21,1
"356","UGA","Uganda",0,75,251,335,0
"357","UKR","Ukraine",1200,4288,19281,34043,17
"358","URY","Uruguay",28,48,181,953,1
"359","US01","Alabama",985,2548,4827,10527,23
"360","US02","Alaska",14,57,206,313,3
"361","US04","Arizona",1764,5674,8864,16941,24
"362","US05","Arkansas",279,1384,3676,5616,8
"363","US06","California",6265,15973,25897,59128,173
"364","US08","Colorado",1701,2054,4814,6099,69
"365","US09","Connecticut",4326,4511,5995,7885,69
"366","US10","Delaware",510,636,926,1559,10
"367","US11","District of Columbia",554,627,786,1061,9
"368","US12","Florida",3617,14444,21673,33338,85
"369","US13","Georgia (USA)",2849,7063,10934,18987,111
"370","US15","Hawaii",18,139,288,462,1
"371","US16","Idaho",92,472,1436,1957,8
