"","LocID","Location","MidPeriod","Sex","0m1","4m1","10m5","10m15","10m25","10m35","10m45","10m55","10m65","10m75","m85+","0p1","4p1","10p5","10p15","10p25","10p35","10p45","10p55","10p65","10p75"
"28.<11","ES09","Cataluña","2020.5","Male",0.00215496794115617,8.48748607608042e-05,8.24591811382044e-05,0.000232744123135509,0.00036532640320501,0.000955450037973889,0.00285663652158237,0.00737320766472927,0.0162749058547993,0.0452304783496517,0.162557501071243,0.997848984011225,0.999660570077798,0.999175749879306,0.997674871951807,0.996352909494829,0.99048545488745,0.971751286318041,0.928566147256441,0.848281308300407,0.622934002875987
"29.<11","ES10","Comunitat Valenciana","2020.5","Male",0.00203392491627221,0.000136910949320875,0.000108272281235281,0.000270048946995469,0.000430817863738435,0.000950137767926822,0.00316216592207644,0.00780490865939092,0.017148858897107,0.0481321120331573,0.166679172037624,0.997969696147344,0.999452533536203,0.998917987014932,0.997302839073127,0.995700394148019,0.990536776514903,0.968770091391031,0.924586178064907,0.840494468306526,0.604058366561295
"30.<11","ES11","Extremadura","2020.5","Male",0.00384167766389654,0.000128297611361037,9.36507950001929e-05,0.000208786244975651,0.000388154145326812,0.000768379419740351,0.00309650831562145,0.00746939221381292,0.019145117052199,0.0509754313807935,0.163758044091096,0.996171864580994,0.9994869452288,0.999063858191914,0.997913601659646,0.996124821389657,0.992341511000219,0.969395365870593,0.927664760708804,0.823761236006804,0.584233330982173
"31.<11","ES12","Galicia","2020.5","Male",0.00205432106877337,5.92103865493302e-05,7.59988690322965e-05,0.000313050728814179,0.000437893224382324,0.00107579795919595,0.00334882681870102,0.00770454820748067,0.0173825710549936,0.0454644290474777,0.159560454578332,0.997949625636769,0.999763203768089,0.999240245821363,0.996873432502459,0.99562967796045,0.989288019363684,0.966959790063613,0.925516480972679,0.838999734060975,0.621863223453911
"32.<11","ES13","Madrid, Comunidad de","2020.5","Male",0.00257885814309116,0.000139570780625515,6.80951979926091e-05,0.000241349912513192,0.00032013215872242,0.000640922494556225,0.00234124169334639,0.00593288468906817,0.0136649943761687,0.0396195602162069,0.153007731657761,0.997426984252223,0.999441872452391,0.999319252889069,0.99758891371417,0.996803318714916,0.993608374035086,0.976807729654249,0.942137114754056,0.871194350287949,0.662398283719376
"33.<11","ES14","Murcia, Región de","2020.5","Male",0.00210494355896042,2.28269733061636e-05,7.51349177367052e-05,0.000229395093993784,0.000518961716725424,0.00106707965354769,0.00333893609623805,0.00683778453646596,0.0164790327303161,0.0503275130498138,0.169705885985154,0.997898949725197,0.999908694059679,0.999248846381369,0.99770816890666,0.994822412224736,0.989376319900017,0.967057212542625,0.933458324687354,0.845633328239738,0.589309056976289
"34.<11","ES15","Navarra, Comunidad Foral de","2020.5","Male",0.00148669456599489,5.94037618801109e-05,8.18285838199832e-05,0.000329748093122058,0.000407237684648572,0.000837127247635454,0.00266883600987056,0.00602962148063501,0.0126251590641243,0.0456622994804652,0.165212318287523,0.998515430298497,0.999762390985136,0.999182202260113,0.996707497901306,0.995936018019084,0.991658739436187,0.973599905702296,0.941182613247315,0.880342800121123,0.617655335678761
"35.<11","ES16","País Vasco","2020.5","Male",0.00236391886858296,0.000117782530543696,7.24272159006704e-05,0.000193279917654434,0.000303427484536666,0.00081266102581016,0.00287040637252976,0.00697189741916774,0.0155179915847148,0.045350035749998,0.165270705159219,0.997640905366078,0.999528939479286,0.999276038282879,0.99806859778487,0.996969844951855,0.991899579780608,0.971618629712855,0.932337853091062,0.854944662283911,0.622049195950573
"36.<11","ES17","Rioja, La","2020.5","Male",0.00265716221418982,0.000139716677050385,4.97930583630091e-07,0.000248462742601618,0.000234361520612021,0.000763848894859542,0.00301590300180491,0.00633291264372459,0.0158596546425773,0.0472541090580298,0.164318309974298,0.997347785421752,0.999441419164589,0.99999502070656,0.997518108966565,0.997657816577358,0.99238478298964,0.970233845043284,0.938277265904899,0.851123519456881,0.609090300971399
"37.<11","ES18","Ceuta","2020.5","Male",0.00340699735302931,0.000353215726722048,0.000162966602247529,0.000346457835179908,0.000980665847385764,0.000892798159030388,0.00295938568049792,0.00878744737502291,0.0153687120553403,0.0569349642397873,0.185263440004294,0.996602516524115,0.998587552614172,0.998370997296467,0.996538926955026,0.990245390314741,0.991096383360778,0.970712186813846,0.915946800479968,0.856551908788128,0.555024958211093
"38.<11","ES19","Melilla","2020.5","Male",0.00484146475882021,9.81499481061494e-07,0.000148887256521807,0.000628341595131808,0.000717631847049472,0.00180013644241719,0.00312641778901814,0.00821939940198731,0.0160373690113395,0.0556129094197751,0.205930277438984,0.995181241894167,0.999996074009783,0.998512202233484,0.993737431703115,0.992854917996113,0.982133897384479,0.969110712154141,0.920302204202576,0.85100911850221,0.556742061871157
"3511","MX01","Aguascalientes","2020.5","Female",0.00901716254173726,0.000364839933737998,0.00020360182038031,0.000456404770353212,0.000666682583789879,0.00135212994454908,0.00337411840811861,0.00852695893801736,0.0211965843029766,0.0513956824578524,0.14249212955825,0.991053,0.998541954870224,0.997965861229901,0.995445501445431,0.993353656861937,0.986556934882849,0.966737766429494,0.917757242140502,0.806231713323405,0.586035422936395
"3611","MX02","Baja California","2020.5","Female",0.00867287309071857,0.000356887576879743,0.000190065460364325,0.000433208032236681,0.00062855614353996,0.00129192269075376,0.00326868523274556,0.00832225724965907,0.0207726593320989,0.0505432703500289,0.141271755230751,0.991392,0.998573722604177,0.998100967900297,0.995676542205328,0.993732631583227,0.987151975124276,0.967761856555649,0.919659395322842,0.809758204503411,0.591411577462723
"3711","MX03","Baja California Sur","2020.5","Female",0.00948264388815622,0.00037765724182391,0.00019205765696337,0.000435533703873621,0.000633236939692191,0.00129671988039908,0.00326773946508434,0.00830233570423982,0.0206999082468691,0.0503261180358388,0.140804628122882,0.990595,0.998490806030719,0.998081083813568,0.995653371852974,0.99368610179355,0.98710460169652,0.967771312402112,0.919845708320561,0.810368994618125,0.59281380301941
"3811","MX04","Campeche","2020.5","Female",0.0122613504162754,0.000448170443602601,0.000252198615547375,0.000535559030376236,0.00079969395163611,0.00155333702953207,0.00370707465573557,0.00914691775091016,0.022441096280835,0.0538171959453626,0.145805620521221,0.987869,0.998209276736086,0.997480985701247,0.994657467954974,0.992032593286118,0.98457085865361,0.963510539550917,0.912019045922656,0.795961968093975,0.571026748176941
