LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2022,CCDR_2022,CCMR_2022,ISCDR_2022,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
CHL,Chile,Cntry/Terr,19116.209,25.71,6.12,33,0.368567118,0.34360365,0.47499451,365,1.127786372,1.051400124,1.453445814,7.60962568,75.8986225,80.79809321,78.28860821,-2.084784063,-1.760401029,-1.926548437
CHN,China,Cntry/Terr,1439323.774,153.312,7.121,33,0,0,0,365,2.50E-05,2.49E-05,3.45E-05,7.666051125,74.90954396,79.34676692,77.07404297,-3.81E-05,-3.26E-05,-3.54E-05
CN12,Anhui,China,65274.19906,467.2455194,5.96,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN01,Beijing,China,22086.18046,1314.653599,5.58,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN22,Chongqing,China,32032.13916,389.2118974,7.54,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN13,Fujian,China,40737.41641,335.0667578,6.2,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN28,Gansu,China,27141.18833,59.74287548,6.65,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN19,Guangdong,China,118131.3301,656.2851672,4.55,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN20,Guangxi,China,50857.68573,215.4986683,5.96,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN24,Guizhou,China,37148.66843,211.0719797,6.85,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN21,Hainan,China,9689.61956,284.9888106,6.01,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN03,Hebei,China,77845.07058,414.7313297,6.38,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN08,Heilongjiang,China,38461.12483,84.71613399,6.67,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN16,Henan,China,98844.37307,591.8824735,6.8,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN17,Hubei,China,60772.88373,326.911693,7,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN18,Hunan,China,70934.16732,337.7817491,7.08,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN05,Inner Mongolia,China,26044.05681,22.01526357,5.95,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN14,Jiangxi,China,47843.13742,286.4858528,6.06,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN07,Jilin,China,27592.34522,147.2377013,6.26,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN06,Liaoning,China,44623.5178,305.8500192,7.39,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN27,Shaanxi,China,39619.77775,192.7031992,6.24,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN15,Shandong,China,103253.4063,671.3485456,7.18,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN09,Shanghai,China,24895.65745,3926.140585,5.4,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN23,Sichuan,China,85873.6125,177.0589948,7.01,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN02,Tianjin,China,16016.06958,1416.724421,5.42,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN31,Xinjiang,China,25869.74619,15.58043013,4.56,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN25,Yunnan,China,49811.82203,126.4259442,6.32,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
CN11,Zhejiang,China,59983.35918,588.0721488,5.58,33,0,0,0,365,0,0,0,NA,NA,NA,NA,NA,NA,NA
HKG,"China, Hong Kong SAR",Cntry/Terr,7496.988,7139.989,6.605,33,0,0,0,365,0.004801928,0.002983521,0.004124392,7.252639582,82.05498927,87.83939444,84.87665033,-0.007800582,-0.007690752,-0.007747007
TWN,"China, Taiwan Province of China",Cntry/Terr,23816.775,672.6,7.502,33,0.000464404,0.000337905,0.000467116,365,0.035437208,0.02578444,0.035644171,8.127551777,77.92495887,83.27855963,80.53647144,-0.056615492,-0.04679144,-0.051823272
COL,Colombia,Cntry/Terr,50882.884,45.861,5.525,33,1.010788189,1.235709445,1.708233316,365,1.604429497,1.96144821,2.711487877,7.422246303,71.32009377,77.39378315,74.28286908,-3.376840909,-2.765095073,-3.078428306
COM,Comoros,Cntry/Terr,869.595,467.273,7.272,33,0.050877045,0.152208182,0.210411183,365,0.086247046,0.258024143,0.356690191,7.200852743,62.51797123,66.14214463,64.28586069,-0.235160557,-0.175453709,-0.206035265
COG,Congo,Cntry/Terr,5518.092,16.158,6.754,33,0.008017703,0.025989676,0.035927888,365,0.046030403,0.149209222,0.206265449,6.709591268,63.050697,66.05458486,64.51600815,-0.131836411,-0.095781037,-0.114248424
CRI,Costa Rica,Cntry/Terr,5094.114,99.767,5.046,33,0.52110052,0.557971887,0.77133518,365,0.980347122,1.049713275,1.45111393,6.372815284,75.79489218,81.18077784,78.42215348,-2.181468836,-1.838843702,-2.014334624
CIV,Cote d'Ivoire,Cntry/Terr,26378.275,82.951,10.155,33,0.030609441,0.100943988,0.139544036,365,0.02403493,0.07926253,0.109571789,9.839540026,56.72552438,59.30719067,57.98487379,-0.054398238,-0.03794687,-0.046373181
HRV,Croatia,Cntry/Terr,4105.268,73.361,13.134,33,3.771945823,2.245653187,3.10437021,365,2.180125634,1.297952385,1.794277381,15.44114347,73.55922635,79.9639768,76.68349486,-1.912979021,-1.737388844,-1.827325276
CUB,Cuba,Cntry/Terr,11326.616,106.413,8.913,33,0.083003742,0.05983661,0.082717576,365,0.723870219,0.521831167,0.721374583,10.1850348,75.99317695,80.09944979,77.99623687,-0.988098913,-0.795500331,-0.894148385
CUW,Curacao,Cntry/Terr,164.1,369.595,8.766,33,3.03307296,2.14488565,2.965070099,365,1.304082876,0.922202889,1.274844751,10.60048676,74.23011765,80.26047919,77.17175743,-1.713450182,-1.487470271,-1.603216079
CYP,Cyprus,Cntry/Terr,1207.361,130.667,6.991,33,0.897775722,0.748518936,1.034745659,365,0.444771696,0.370827623,0.512628678,7.862073905,78.39059241,82.55894452,80.42393491,-0.69944311,-0.584272205,-0.64326218
CZE,Czechia,Cntry/Terr,10708.982,138.646,10.497,33,1.220810378,0.795579409,1.099801622,365,1.988891194,1.296123385,1.791748989,12.83546063,74.76393585,80.244924,77.43758861,-2.131680054,-1.808655237,-1.974106973
COD,Democratic Republic of the Congo,Cntry/Terr,89561.404,39.506,9.58,33,0.009015315,0.029910422,0.041347891,365,0.006844466,0.022708123,0.031391499,9.166458053,59.32828221,62.45335261,60.8527068,-0.020966958,-0.01499292,-0.018052793
DNK,Denmark,Cntry/Terr,5792.203,136.512,9.717,33,1.000613683,0.62592848,0.865277745,365,0.297468856,0.186080035,0.25723532,10.25896658,78.72859581,82.65289398,80.6428876,-0.378404121,-0.312802903,-0.346403527
DJI,Djibouti,Cntry/Terr,988.002,42.623,7.078,33,0,0,0,365,0.12854225,0.265988259,0.367699711,7.239457944,64.91145171,69.22602531,67.01612176,-0.293566891,-0.218403872,-0.256902004
DOM,Dominican Republic,Cntry/Terr,10847.904,224.501,6.127,33,0.065254891,0.090734745,0.125430873,365,0.157357587,0.218800468,0.302467744,6.510376409,70.7566353,77.15866255,73.87957542,-0.390186364,-0.347718655,-0.369470409
ECU,Ecuador,Cntry/Terr,17643.06,71.038,5.099,33,0.539769281,0.761203986,1.052281355,365,1.120383879,1.580009652,2.18419074,6.364268627,71.73045378,77.6325098,74.60950549,-2.766912838,-2.364526465,-2.570626803
EGY,Egypt,Cntry/Terr,102334.403,102.802,5.833,33,0.103327318,0.20795014,0.287468352,365,0.132057252,0.26577022,0.367398296,5.904237292,69.57294677,74.26551536,71.86200462,-0.29916862,-0.244885067,-0.272688838
SLV,El Salvador,Cntry/Terr,6486.201,313.041,7.024,33,0.144946405,0.192288022,0.265817184,365,0.355986501,0.472256902,0.652843577,7.545887228,68.01315291,77.38170364,72.58317766,-0.671064641,-0.622356299,-0.647304474
