"","LocID","Location","Time","PopM.0","PopM.1-4","PopM.5-14","PopM.15-24","PopM.25-34","PopM.35-44","PopM.45-54","PopM.55-64","PopM.65-74","PopM.75-84","PopM.85+","PopF.0","PopF.1-4","PopF.5-14","PopF.15-24","PopF.25-34","PopF.35-44","PopF.45-54","PopF.55-64","PopF.65-74","PopF.75-84","PopF.85+"
"127","CUW","Curaçao","2020",0.803,3.796,10.639,10.529,9.188,8.081,10.02,10.403,7.43,3.51,1.07,0.779,3.618,10.193,10.049,10.177,10.55,12.664,13.618,9.828,5.224,1.931
"46","CYP","Cyprus","2020",6.355,27.031,69.678,88.051,101.779,87.615,75.934,67.713,48.681,24.853,5.824,5.977,25.454,65.653,79.313,93.017,91.555,79.239,69.032,52.575,31.155,10.877
"47","CZE","Czechia","2020",60.34,226.816,579.384,491.148,691.4,869.64,797.595,642.333,587.847,260.553,65.466,57.113,214.541,549.065,467.967,659.458,822.061,764.349,658.662,705.823,393.234,144.187
"67","DEU","Germany","2020",429.863,1652.48,3949.685,4532.717,5344.642,5326.257,5960.603,6247.912,4082.197,2991.003,898.552,408.54,1567.796,3684.185,4139.69,4921.148,5163.565,5904.302,6379.963,4575.065,3905.682,1718.098
"62","DJI","Djibouti","2020",10,40.198,98.161,98.693,92.051,74.306,51.086,32.126,15.632,5.889,0.851,8.87,40.094,88.33,82.292,81.36,68.606,45.449,29.879,16.311,6.669,1.149
"49","DNK","Denmark","2020",35.017,123.355,325.929,364.508,385.961,339.948,401.645,364.134,321.421,173.094,44.349,33.007,117.217,308.549,348.341,371.071,338.292,397.331,369.96,338.707,208.925,81.442
"50","DOM","Dominican Republic","2020",102.108,409.68,1006.492,965.786,868.151,704.089,562.697,418.447,237.478,106.138,37.14,97.883,393.158,967.272,932.407,872.176,702.983,584.964,443.017,260.247,126.058,49.533
"3","DZA","Algeria","2020",515.872,2058.19,4315.93,3015.507,3689.531,3293.995,2240.835,1571.21,942.757,399.596,110.385,494.741,1972.715,4141.444,2894.675,3612.066,3267.55,2255.639,1554.304,924.381,457.927,121.793
"51","ECU","Ecuador","2020",171.907,680.573,1617.149,1591.239,1426.049,1159.264,911.636,646.221,387.922,179.394,52.473,164.029,650.578,1548.539,1536.235,1406.758,1169.438,941.892,682.248,426.252,214.92,78.344
"189","EGY","Egypt","2020",1193.268,5335.341,11340.8,8787.018,8162.302,6682.307,4496.262,3255.02,1798.336,557.677,94.531,1133.406,5035.197,10674.867,8330.669,7997.408,6491.372,4625.07,3337.952,2028.625,791.66,185.315
"55","ERI","Eritrea","2020",54.526,198.259,492.09,333.786,279.662,164.652,110.595,73.812,47.96,19.377,2.829,52.396,189.889,471.303,325.393,276.608,168.076,117.103,78.458,59.169,25.682,4.802
"171","ESH","Western Sahara","2020",5.395,23.145,53.473,49.978,57.917,53.395,35.649,22.425,8.697,1.9,0.286,5.273,22.657,52.483,48.724,53.065,44.877,30.644,17.94,7.139,1.935,0.333
"168","ESP","Spain","2020",204.082,821.585,2447.349,2305.862,2520.2,3662.911,3841.164,3110.66,2170.707,1336.501,557.317,190.784,773.645,2294.996,2188.17,2460.462,3620.986,3728.701,3242.736,2434.786,1762.991,1078.188
"56","EST","Estonia","2020",7.107,28.726,76.811,61.542,99.982,93.21,86.47,80.877,54.991,30.479,8.261,6.386,26.957,72.867,58.761,89.134,87.424,86.31,93.716,81.903,67.311,27.314
"54","ETH","Ethiopia","2020",1765.517,6754.789,14719.581,12473.88,8651.088,5536.671,3639.269,2105.596,1275.621,509.038,85.785,1711.543,6559.635,14379.682,12248.771,8559.994,5671.259,3694.185,2425.988,1481.104,603.7,110.887
"58","FIN","Finland","2020",24.275,110.985,314.475,312.504,362.65,361.726,336.376,358.552,337.883,164.398,48.582,23.163,105.709,300.434,297.047,343.882,342.874,328.739,367.644,375.396,220.111,103.313
"57","FJI","Fiji","2020",9.179,36.737,87.207,75.331,69.894,64.339,49.394,38.7,17.706,4.876,0.655,8.667,34.807,83.47,71.76,67.005,60.82,47.488,39.496,20.67,7.391,0.852
"59","FRA","France","2020",354.172,1496.251,4040.641,3854.898,3754.022,3938.992,4315.57,3982,3413.047,1722.152,717.45,337.152,1432.412,3862.534,3729.91,3861.521,4073.922,4430.101,4262.904,3902.107,2294.263,1497.491
"136","FSM","Micronesia (Fed. States of)","2020",1.292,5.003,12.09,11.917,9.946,6.508,5.143,4.28,2.002,0.27,0.029,1.256,4.714,11.522,11.201,9.017,6.295,5.419,4.368,2.159,0.509,0.081
"63","GAB","Gabon","2020",33.418,128.464,256.657,187.541,191.018,155.458,98.008,47.479,24.689,9.026,1.096,32.664,125.83,252.363,185.246,185.8,134.64,84.06,48.538,28.071,13.457,2.205
"190","GBR","United Kingdom","2020",380.679,1628.684,4130.92,3953.285,4636.192,4428.089,4409.764,4152.227,3272.026,1904.394,646.155,362.97,1552.157,3944.986,3807.488,4554.703,4468.237,4520.897,4291.714,3498.223,2274.32,1067.894
"64","GEO","Georgia","2020",25.065,113.193,281.2,238.579,279.421,263.95,237.797,236.036,145.661,65.518,14.807,23.535,106.552,257.08,212.429,277.449,275.489,262.021,290.897,215.453,129.372,37.671
"68","GHA","Ghana","2020",430.895,1698.215,3761.532,3065.379,2457.069,1801.592,1299.703,787.327,337.722,99.786,10.779,412.862,1627.464,3606.774,2931.807,2347.248,1748.677,1294.894,825.704,384.377,128.301,14.838
"75","GIN","Guinea","2020",223.304,833.989,1789.206,1423.067,928.784,507.596,301.351,199.59,106.427,36.339,3.581,220.094,822.724,1764.213,1393.506,960.369,635.012,429.828,312.44,177.131,58.272,5.969
"72","GLP","Guadeloupe","2020",2.796,8.841,26.026,29.307,16.833,15.509,25.659,26.773,19.254,9.735,3.823,2.639,8.621,24.785,28.652,18.164,23.493,32.867,31.728,23.656,13.555,7.411
"65","GMB","Gambia","2020",43.622,163.169,329.261,241.885,177.418,105.265,67.158,41.046,21.638,7.472,0.606,42.776,159.939,323.363,243.335,183.963,115.202,74.718,43.371,22.614,8.065,0.778
"145","GNB","Guinea-Bissau","2020",31.682,122.26,261.435,193.274,145.8,96.947,56.551,32.915,16.913,4.536,0.382,31.069,120.1,258.581,194.968,154.498,106.586,63.193,41.347,25.937,8.193,0.831
"53","GNQ","Equatorial Guinea","2020",21.217,79.691,160.539,141.544,183.25,107.754,47.526,22.876,11.848,3.711,0.424,20.78,77.965,155.817,117.599,108.606,66.266,36.321,21.822,12.487,4.422,0.52
"70","GRC","Greece","2020",41.464,169.711,522.976,539.814,586.977,773.595,790.025,662.767,521.378,347.997,159.122,39.03,159.254,490.929,516.22,538.635,745.571,800.264,723.112,608.72,453.014,232.481
"71","GRD","Grenada","2020",0.906,3.704,9.1,8.242,9.63,7.738,6.346,5.981,3.272,1.404,0.343,0.858,3.544,8.642,7.971,9.305,7.688,5.881,5.965,3.379,1.977,0.643
"74","GTM","Guatemala","2020",214.357,840.953,1996.246,1904.833,1473.408,1014.671,599.004,382.208,245.15,120.562,35.717,205.064,805.008,1911.86,1843.246,1491.392,1119.661,730.491,479.855,302.98,149.356,49.545
"60","GUF","French Guiana","2020",3.944,14.278,30.327,26.859,18.569,19.116,15.97,10.681,5.981,1.826,0.199,3.842,13.557,29.128,27.068,20.784,20.529,16.439,10.965,5.769,2.215,0.636
"73","GUM","Guam","2020",1.382,5.572,13.731,14.364,12.665,9.973,10.447,9.048,5.443,2.064,0.451,1.308,5.283,12.994,13.334,12.257,9.804,10.054,8.782,5.95,2.844,1.033
"76","GUY","Guyana","2020",7.269,30.639,73.829,78.072,56.887,47.084,43.93,32.889,16.711,6.544,1.695,6.998,28.958,70.434,74.175,55.058,47.291,44.069,33.919,19.424,8.14,2.544
"79","HKG","China, Hong Kong SAR","2020",41.561,146.968,311.585,326.698,454.776,457.296,478.501,587.225,391.79,170.659,72.607,39.621,134.413,275.903,314.451,574.849,694.089,653.949,640.889,412.128,188.121,128.909
"78","HND","Honduras","2020",108.215,412.212,1027.198,1046.785,845.07,627.715,408.376,252.206,140.945,60.956,19.202,103.131,393.459,985.425,1008.936,829.183,639.589,440.582,283.952,164.562,76.909,30
"44","HRV","Croatia","2020",18.194,76.633,212.472,222.295,251.372,289.564,273.596,283.07,218.071,107.878,26.147,17.394,71.93,200.347,210.748,242.216,280.345,276.283,306.347,264.295,181.933,74.138
"77","HTI","Haiti","2020",129.941,513.826,1239.543,1104.599,927.871,705.984,429.611,313.044,174.326,73.521,14.179,124.52,494.656,1200.362,1105.059,957.187,747.089,473.409,345.785,207.464,97.572,22.985
"80","HUN","Hungary","2020",50.7,186.352,477.088,515.293,636.912,734.912,706.881,550.697,479.635,209.427,50.391,47.801,176.289,453.697,488.496,608.999,724.75,714.799,638.859,666.249,401.122,141.001
"83","IDN","Indonesia","2020",2291.13,9801.606,24221.154,23633.814,20595.355,20483.735,17177.029,11689.546,5652.526,1901.345,270.621,2174.603,9390.957,23061.655,22337.802,20296.049,20390.379,16943.938,11905.417,6101.382,2687.264,516.314
"82","IND","India","2020",12638.285,48590.129,128179.797,131536.666,120914.227,100625.161,75959.268,54844.944,30796.037,10894.462,2121.994,11504.767,44146.326,115958.282,117013.704,108659.14,93054.911,72356.974,53301.852,31555.689,12678.504,2673.266
"86","IRL","Ireland","2020",29.277,132.283,365.924,305.54,296.129,379.535,337.318,266.125,209.153,103.539,26.526,27.56,124.533,349.077,296.18,292.47,401.001,342.553,272.459,218.59,118.426,43.598
