Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Puglia,Italy,4034.220346,206.5868249,9.6,244,1.572205385,0.806984959,1.105189977,365,1.524953888,0.782731609,1.07197429,11.74163713,78.64340678,84.19220372,81.350137,-1.627814615,-1.398812007,-1.516106026
Sardegna,Italy,1643.577444,68.23987434,9.9,244,0.758154762,0.361014301,0.494419856,365,0.879179746,0.418643366,0.57334458,11.49241125,79.19180373,85.22276419,82.13373566,-0.923109945,-0.838496117,-0.881834907
Sicilia,Italy,5005.164692,193.9039583,10.4,244,1.174565435,0.624758856,0.855625892,365,1.209550609,0.643367694,0.88111125,12.03977103,77.40727185,83.45536231,80.35755988,-1.240242383,-1.06746116,-1.15595886
Toscana,Italy,3740.108828,295.7172038,11.6,244,1.335873288,0.57343869,0.785341393,365,1.569473048,0.673714024,0.922671455,13.61660438,79.608338,84.84641496,82.16349749,-1.444479631,-1.263893804,-1.356388983
Trento (Provincia autonoma di),Italy,541.8657773,87.33443467,9.3,244,1.170515507,0.577897812,0.791448294,365,1.773501927,0.875599577,1.199159742,11.54570302,79.04963174,84.91266043,81.90964574,-1.989647457,-1.721603567,-1.85889434
Umbria,Italy,884.4952379,104.6532522,11.4,244,1.368220398,0.575089395,0.787602083,365,1.52968602,0.642956507,0.880548118,13.61049599,80.0041639,84.98668024,82.43465968,-1.426550087,-1.24031076,-1.335701634
Valle d'Aosta/Vallee d'Aoste,Italy,125.9531729,38.70125138,11.7,244,1.116405017,0.518193973,0.709682106,365,2.596202958,1.205061519,1.650367702,14.96546322,75.89736464,83.26965545,79.49360406,-2.156635154,-1.984683682,-2.072756387
Veneto,Italy,4914.725138,267.2179912,10,244,1.566599458,0.758880774,1.039309861,365,1.945785315,0.942563244,1.290868482,12.41419701,78.91544124,84.53009869,81.65429853,-1.951563809,-1.739374586,-1.848056871
Jamaica,Cntry/Terr,2961.161,273.422,7.562,244,0.614291622,0.771766939,1.056957847,365,0.50284331,0.631748551,0.865198488,8.131970522,72.0588202,75.687993,73.82914839,-0.906381863,-0.579161153,-0.746762005
Japan,Cntry/Terr,126476.458,346.934,10.427,244,0.151250205,0.061448182,0.084155118,365,0.116590868,0.047367188,0.064870777,11.71290218,81.48259612,87.65960538,84.49577137,-0.111534133,-0.11864356,-0.115002146
Jordan,Cntry/Terr,10203.14,114.926,3.858,244,0.964266401,2.612601067,3.578035103,365,1.018902024,2.760631827,3.780767646,4.995906975,70.06286867,74.18782892,72.0750444,-2.907367274,-2.264030662,-2.593544536
Kazakhstan,Cntry/Terr,18776.707,6.955,7.129,244,0.788234637,1.244909816,1.704941133,365,0.589400474,0.930878194,1.274865458,7.868169004,68.305924,76.72561,72.4130879,-0.879260235,-0.93341616,-0.905677759
Kenya,Cntry/Terr,53771.3,94.478,5.518,244,0.085017015,0.364747659,0.499532801,365,0.077011342,0.330401002,0.45249403,5.545502941,64.15381409,68.96616151,66.50130064,-0.272284187,-0.215336491,-0.244504823
