LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
SAU,Saudi Arabia,Cntry/Terr,34813.867,16.195,3.47,302,0.089047355,0.164230868,0.258165883,365,0.101626171,0.187430095,0.294634356,3.791213847,73.78706206,76.71151691,75.2136254,-0.301256036,-0.221749011,-0.262472121
GNQ,Equatorial Guinea,Cntry/Terr,1402.985,50.017,9.434,302,0.06633208,0.215599729,0.338916155,365,0.05702128,0.185336753,0.291343686,8.951195172,57.8531708,60.13171255,58.96465458,-0.156846999,-0.107216194,-0.132636851
CHI,Channel Islands,Cntry/Terr,173.859,915.047,7.808,302,0.312824859,0.177231334,0.278602217,365,0.316348305,0.179227547,0.281740202,8.389642607,80.85391786,84.61239189,82.68731983,-0.476557848,-0.409742738,-0.443965111
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,28435.943,32.238,6.953,302,0.162360975,0.198377297,0.311843022,365,0.143796884,0.175695159,0.276187396,7.439233205,68.22346837,75.90684449,71.97145672,-0.268305301,-0.258336318,-0.263442382
GNB,Guinea-Bissau,Cntry/Terr,1967.998,69.986,9.718,302,0.05895661,0.189591683,0.298032305,365,0.05081306,0.163403791,0.256865743,9.408205209,56.42683672,60.42147935,58.37544288,-0.121001624,-0.092472856,-0.107085152
AGO,Angola,Cntry/Terr,32866.268,26.363,8.332,302,0.047805612,0.172971145,0.27190533,365,0.043966051,0.159078773,0.250066948,7.904912501,58.50468802,64.14530535,61.25620867,-0.132921542,-0.11239006,-0.122906185
CMR,Cameroon,Cntry/Terr,26545.864,56.157,9.355,302,0.056365025,0.179035938,0.281438999,365,0.047502692,0.150885927,0.237188046,9.002305975,58.12724885,60.74266911,59.40306361,-0.126763312,-0.088090002,-0.107898283
SDN,Sudan,Cntry/Terr,43849.269,24.843,7.243,302,0.044954951,0.111691246,0.17557521,365,0.051608614,0.128222372,0.201561633,7.168260491,63.49967583,67.30057658,65.35377375,-0.156593762,-0.112859121,-0.135259791
YEM,Yemen,Cntry/Terr,29825.968,56.492,6.006,302,0.051219867,0.152983414,0.240485231,365,0.04281504,0.127879889,0.20102326,6.023687747,64.4033159,67.84070139,66.08008931,-0.138597176,-0.104175466,-0.121806098
DZA,Algeria,Cntry/Terr,43851.043,18.411,4.719,302,0.086846915,0.120797514,0.189889984,365,0.091651184,0.12747989,0.200394473,4.954949422,75.5639473,78.11116945,76.80649469,-0.278227666,-0.187994582,-0.234211527
ETH,Ethiopia,Cntry/Terr,114963.583,114.964,6.662,302,0.047360952,0.124341071,0.195460347,365,0.043770382,0.114914418,0.180641937,6.422594719,64.82058135,68.72323925,66.72431691,-0.145222794,-0.10645315,-0.126310773
LBR,Liberia,Cntry/Terr,5057.677,52.509,7.599,302,0.04874892,0.130764618,0.205557966,365,0.040532442,0.108724651,0.170911814,7.43217617,62.75530457,65.63826685,64.16162763,-0.117330803,-0.081159355,-0.099686194
MUS,Mauritius,Cntry/Terr,1271.767,626.486,8.299,302,0.146352145,0.126366106,0.19864364,365,0.121091363,0.10455497,0.164357203,8.991596098,71.63545319,78.41080547,74.94050308,-0.170988535,-0.167032396,-0.169058711
